Year,Countrys,Wins,Runner Up
1930,Uruguay,2,Argentina
1934,Italy,4,Czechoslovakia
1938,Italy,4,Hungary
1950,Uruguay,2,Brazil
1954,West Germany,4,Hungary
1958,Brazil,5,Sweden
1962,Brazil,5,Czechoslovakia
1966,England,1,West Germany
1970,Brazil,5,Italy
1974,West Germany,4,Netherlands
1978,Argentina,3,Netherlands
1982,Italy,4,West Germany
1986,Argentina,3,West Germany
1990,West Germany,4,Argentina
1994,Brazil,5,Italy 
1998,France,2,Brazil
2002,Brazil,5,West Germany
2006,Italy,4,France 
2010,Spain,1,Netherlands
2014,Germany,4,Argentina
2018,France,2,Croatia
2022,Argentina,3,France
